Begriff;Definition;Erläuterung;Verwendungshinweis;Von;Bis
Dom;Ein Dom ist ein Kirchengebäude, das zu einem Bischofssitz gehört.;Als Bestandteil des Namens wird Dom umgangssprachlich auch für andere bedeutende Kirchen verwendet.;"Benutzt nur für Bischofskirchen; für andere als ""Dom"" bezeichnete Kirchen siehe Kirchengebäude.";;
Donjon;;Im Gegensatz zum wehrhaften Bergfried im deutschen Raum ist der Donjon jedoch bewohnt.;;;
Dorf;Ein Dorf ist eine dauerhafte Siedlung mit mehreren beieinander liegenden Wohnstätten. Das Dorf ist in der Regel überwiegend durch die Wirtschaftsformen Landwirtschaft oder Fischerei geprägt und hat Gebäude mit zentraler Funktion, wie zum Beispiel eine Kirche oder eine Schule.;;;;
Dorfkern;;;;;
Dormitorium;Ein Dormitorium ist ein Gebäudeteil, der in einem Kloster als Schlafsaal der Klosterinsassen dient oder deren Zellen enthält.;;;;
Dungschleier;Der Begriff Dungschleier bezeichnet einen Dungauftrag, der als dünne Stalldungschicht auf den Acker gelangt. In der Archäologie werden Oberflächenfunde, die aufgrund ihrer Datierung und Zusammensetzung als von der Landwirtschaft aufgetragene Fundstreuung bestimmt werden, so genannt.;;;;
Einfriedung;Eine Einfriedung ist ein Element, das den Zugang zu dem durch die Einfriedung umschlossenen Bereich nur durch ein Tor, eine Schranke oder ähnliches erlaubt.;;;;
Einkammerofen;Ein Einkammerofen ist ein Brennofen, in dem sich Feuerung und Brenngut in einer gemeinsamen Kammer oder unter einer Ofenkuppel befinden.;Feuerungsraum und Brennraum können schräg hintereinander angelegt oder durch eine kleine Stufe getrennt sein. Jedoch sind keine zusätzlichen trennenden Elemente (Feuergitter bzw. Ständer) zwischen Feuerung und Brenngut vorhanden.;;;
Einsiedelei;Eine Einsiedelei ist eine Siedlung, in der sich eine einzelne Person oder eine Gruppe zu einem kontemplativen Leben mit besonderer Konzentration auf geistige sowie religiöse Inhalte oder einem Leben im Einklang mit der Natur zurückzieht.;;"Benutzt für den Ort religiös motivierten Rückzugs; für den im Rahmen einer Gartengestaltung und häufig nachgespielten zeitweisen Rückzug gestalteten Ort siehe Eremitage.";;
Einzelfund;Ein Einzelfund ist ein Fund, der in der Regel ohne erkennbaren funktionalen Kontext aufgefunden wird.;;;;
Einzelhof;Ein Einzelhof ist eine Einzelsiedlung, die von einem einzeln gelegenen Bauernhof gebildet wird.;;;;
