Begriff;Definition;Erläuterung;Verwendungshinweis;Von;Bis
Buch (Informationsträger);Ein Buch ist ein Informationsträger, der aus einer Sammlung gedruckter, beschriebener aber auch leerer Blätter aus Papier oder ähnlichen Materialien bestehen kann. Diese Einzelblätter sind durch eine Bindung oder Heftung verbunden und zumeist durch einen Bucheinband geschützt.;;;;
Buchdeckel;Ein Buchdeckel ist der Bestandteil eines Bucheinbandes, der die Aufgabe erfüllen soll, den Buchblock vor Schäden zu schützen, wozu er etwas über den Buchblock hinaussteht.;;;;
Bucheinband;Ein Bucheinband ist der Bestandteil eines Buches und Bestandteil der Buchkunst, der als Hülle den Buchblock umschließt.;;;;
Buchmalerei (visuelles Werk);Eine Buchmalerei ist ein visuelles Werk, durch das ein Buchtext durch Hinzufügen eines Bildes oder einer Zeichnung illustriert wird. Die Bilder oder Zeichnungen sind entweder in den Text eingefasst oder auf einer gesonderten Seite untergebracht.;;"Benutzt für Illustrationen und ähnliches in Handschriften; für Abbildungen in Druckwerken benutze Buchillustration.";;
Buchschließe;Eine Buchschließe ist eine Schließe, die konstruktionstechnische Schwächen eines Bucheinbands kompensiert. Häufig aus Metall hergestellt, diente sie in erster Linie zum Schutz aber auch als Zierde des vorderen und hinteren Einbandes. Sie gehörte besonders während des Mittelalters und bis Ende des 16. Jahrhunderts zur Ausstattung eines Holzdeckbands.;Die im 16. Jh. zunehmend umfangreicher werdenden Büchersammlungen hatten dazu geführt, dass die ehemals auf Pulten oder in Schränken liegend aufbewahrten Bücher nun aufrecht in Regale gestellt wurden, „die man nebeneinander stellen und bequem einzeln aus der Reihe ziehen wollte”. Bei der Aufstellung von Büchern „fand man doch, daß sie [Schließen und Beschläge] für die Massenaufstellung von Büchern unbequem waren”, so dass sie in der Konsequenz zunehmend seltener verwendet wurden.;;;
Bügelfibel;;;;;
Bürste;Eine Bürste ist eine Gerätschaft mit rechtwinklig auf einem Körper angeordneten Borsten, mit oder ohne Stiel, die, je nach Ausführung, zum Reinigen, zum Aufbringen von Pasten, für die Körperpflege und Ähnliches genutzt wird.;;;;
Büste (Kunst);Eine Büste ist ein visuelles Werk, das die rundplastische oder reliefplastische Darstellung eines Menschen zeigt. Es ist durch Schulter, Brust oder Körpermitte begrenzt.;;;;
Chopper (Steinwerkzeug);;;Chopper konnten in Deutschland bisher nicht überzeugend nachgewiesen werden.;;
Chopping Tool;;;Chopping Tools konnten in Deutschland bisher nicht überzeugend nachgewiesen werden.;;
