Begriff;Definition;Erläuterung;Verwendungshinweis;Von;Bis
Aptium;Das Aptium ist ein geochronologisches Alter der Unterkreide, das vor etwa 121,4 Millionen Jahren begann und vor etwa 113,2 Millionen Jahren endete.;;;-121400000;-113200000
Albium;Das Albium ist ein geochronologisches Alter der Unterkreide, das vor etwa 113,2 Millionen Jahren begann und vor etwa 100,5 Millionen Jahren endete.;;;-113200000;-100500000
Oberkreide;Die Oberkreide ist die obere geochronologische Epoche der Kreide, die vor etwa 100,5 Millionen Jahren begann und vor etwa 66 Millionen Jahren endete.;;;-100500000;-66000000
Cenomanium;Das Cenomanium ist ein geochronologisches Alter der Oberkreide, das vor etwa 100,5 Millionen Jahren begann und vor etwa 93,9 Millionen Jahren endete.;;;-100500000;-93900000
Turonium;Das Turonium ist ein geochronologisches Alter der Oberkreide, das vor etwa 93,9 Millionen Jahren begann und vor etwa 89,8 Millionen Jahren endete.;;;-93900000;-89800000
Coniacium;Das Cenomanium ist ein geochronologisches Alter der Oberkreide, das vor etwa 89,8 Millionen Jahren begann und vor etwa 85,7 Millionen Jahren endete.;;;-89800000;-85700000
Santonium;Das Santonium ist ein geochronologisches Alter der Oberkreide, das vor etwa 85,7 Millionen Jahren begann und vor etwa 83,6 Millionen Jahren endete.;;;-85700000;-83600000
Campanium;Das Campanium ist ein geochronologisches Alter der Oberkreide, das vor etwa 83,6 Millionen Jahren begann und vor etwa 72,2 Millionen Jahren endete.;;;-83600000;-72200000
Maastrichtium;Das Maastrichtium ist das oberste Alter der Oberkreide. Es begann vor etwa 72,2 Millionen Jahren und endete vor etwa 66 Millionen Jahren.;;;-72200000;-66000000
Känozoikum;Känozoikum ist eine geochronologische Ära der Erdgeschichte, die vor etwa 66 Millionen Jahren begann und bis heute andauert. Das Känozoikum umfasst die Perioden Paläogen, Neogen und Quartär.;;;-66000000;
Paläogen;Das Paläogen ist die älteste geochronologische Periode des Känozoikums. Sie begann vor etwa 66 Millionen Jahren und endete etwa vor 23 Millionen Jahren.;;;-66000000;-23040000
Paläozän;Das Paläozän ist die älteste geochronologische Epoche des Paläogens, die vor etwa 66 Millionen Jahren begann und vor etwa 56 Millionen Jahren endete.;;;-66000000;-56000000
Danium;Das Danium ist das älteste geochronologische Alter des Paläozäns, das vor etwa 66 Millionen Jahren begann und vor etwa 61,66 Millionen Jahren endete.;;;-66000000;-61660000
Tertiär;;;Tertiär ist ein veralteter Begriff für eine Periode des Känozoikums zwischen Kreide und Quartär. Der Begriff wurde im Jahr 2000 offiziell aus der internationalen geologischen Zeitskala gestrichen und durch die Begriffe Paläogen und Neogen ersetzt.;-65000000;-1800000
Seelandium;Das Seelandium ist das mittlere geochronologische Alter des Paläozäns, das vor etwa 61,66 Millionen Jahren begann und vor etwa 59,24 Millionen Jahren endete.;;;-61660000;-59240000
Thanetium;Das Thanetium ist das jüngste geochronologische Alter des Paläozäns, das vor etwa 59,24 Millionen Jahren begann und vor etwa 56 Millionen Jahren endete.;;;-59240000;-56000000
Eozän;Das Eozän ist die mittlere geochronologische Epoche des Paläogens, die vor etwa 56 Millionen Jahren begann und vor etwa 33,9 Millionen Jahren endete.;;;-56000000;-33900000
Ypresium;Das Ypresium ist ein geochronologisches Alter des Eozäns, das vor etwa 56 Millionen Jahren begann und vor etwa 48,07 Millionen Jahren endete.;;;-56000000;-48070000
Lutetium (Eozän);Das Lutetium ist ein geochronologisches Alter des Eozäns, das vor etwa  48,07 Millionen Jahren begann und vor etwa 41,03 Millionen Jahren endete.;;;-48070000;-41030000
Bartonium;Das Bartonium ist ein geochronologisches Alter des Eozäns, das vor etwa  41,03 Millionen Jahren begann und vor etwa 37,71 Millionen Jahren endete.;;;-41030000;-37710000
Priabonium;Das Priabonium ist ein geochronologisches Alter des Eozäns, das vor etwa 37,71 Millionen Jahren begann und vor etwa 33,9 Millionen Jahren endete.;;;-37710000;-33900000
Oligozän;Das Oligozän ist die jüngste geochronologische Epoche des Paläogens, die vor etwa 33,9 Millionen Jahren begann und vor etwa 23,04 Millionen Jahren endete.;;;-33900000;-23040000
